Title,Year,Duration,IMDb Rating,Votes
1. Mufasa: The Lion King,2024,1h 58m,6.7,33K
2. Flow,2024,1h 25m,7.9,23K
3. Moana 2,2024,1h 40m,7.0,67K
4. The Wild Robot,2024,1h 42m,8.2,122K
5. Wallace & Gromit: Vengeance Most Fowl,2024,1h 22m,7.7,24K
6. The Lord of the Rings: The War of the Rohirrim,2024,2h 14m,6.4,21K
7. Inside Out 2,2024,1h 36m,7.6,201K
8. IF,2024,1h 44m,6.4,54K
9. Transformers One,2024,1h 44m,7.6,43K
10. Solo Leveling: ReAwakening,2024,2h 1m,8.4,2.9K
11. Despicable Me 4,2024,1h 34m,6.2,57K
12. Memoir of a Snail,2024,1h 35m,7.8,8.5K
13. Kung Fu Panda 4,2024,1h 34m,6.3,64K
14. The Garfield Movie,2024,1h 41m,5.7,22K
15. Attack on Titan the Movie: The Last Attack,2024,2h 25m,9.3,11K
16. Spellbound,2024,1h 49m,5.7,5.7K
17. Look Back,2024,58m,7.8,12K
18. Harold and the Purple Crayon,2024,1h 30m,5.7,7.1K
19. That Christmas,2024,1h 31m,6.8,16K
20. Watchmen: Chapter I,2024,1h 23m,7.0,5.7K
21. The Remarkable Life of Ibelin,2024,1h 43m,8.2,11K
22. The Day the Earth Blew Up: A Looney Tunes Movie,2024,1h 31m,7.0,423
23. Piece by Piece,2024,1h 33m,6.9,4K
24. Watchmen: Chapter II,2024,1h 30m,7.0,2K
25. From Ground Zero,2024,1h 52m,7.9,374
26. Night of the Zoopocalypse,2024,1h 31m,7.5,64
27. Orion and the Dark,2024,1h 33m,6.3,16K
28. Dan Da Dan: First Encounter,2024,1h 23m,8.2,2.3K
29. Megamind vs. The Doom Syndicate,2024,1h 23m,2.4,5.3K
30. Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,6.2,8K
31. Spermageddon,2024,1h 20m,6.2,121
32. The Colors Within,2024,1h 41m,7.4,330
33. Dragonkeeper,2024,1h 38m,5.7,1.5K
34. Hitpig,2024,1h 26m,5.0,667
35. Justice League: Crisis on Infinite Earths - Part Three,2024,1h 34m,6.1,4K
36. Thelma the Unicorn,2024,1h 33m,5.7,2.8K
37. Saving Bikini Bottom: The Sandy Cheeks Movie,2024,1h 22m,3.7,3.5K
38. Buffalo Kids,2024,1h 33m,6.6,517
39. Mononoke the Movie: The Phantom in the Rain,2024,1h 29m,6.8,942
40. Justice League: Crisis on Infinite Earths - Part Two,2024,1h 34m,5.5,4.9K
41. Woody Woodpecker Goes to Camp,2024,1h 40m,4.5,2.4K
42. Ultraman: Rising,2024,1h 57m,6.9,6K
43. 200% Wolf,2024,1h 38m,5.5,769
44. The Night Before Christmas in Wonderland,2024,1h 20m,6.3,488
45. Doraemon the Movie: Nobita's Earth Symphony,2024,1h 55m,6.5,1.3K
46. The Tiger's Apprentice,2024,1h 24m,5.7,2K
47. My Hero Academia: You're Next,2024,1h 50m,7.0,1.4K
48. Panda Bear in Africa,2024,1h 24m,5.6,267
49. 10 Lives,2024,1h 28m,5.9,1.6K
50. Mobile Suit Gundam SEED Freedom,2024,2h 4m,6.7,888
51. Ryan's World the Movie: Titan Universe Adventure,2024,1h 20m,2.1,465
52. Noah's Ark,2024,1h 36m,4.3,574
53. Frida,2024,1h 27m,7.5,1.4K
54. The Most Precious of Cargoes,2024,1h 21m,7.1,562
55. Haikyu!! The Dumpster Battle,2024,1h 25m,7.8,5.4K
