Title,Year,Duration,IMDb Rating,Votes
1. Better Man,2024,2h 15m,7.7,11K
2. A Complete Unknown,2024,2h 21m,7.7,18K
3. Queer,2024,2h 17m,6.5,11K
4. Nr. 24,2024,1h 51m,7.5,11K
5. Saturday Night,2024,1h 49m,7.0,19K
6. Maria,2024,2h 4m,6.5,12K
7. I'm Still Here,2024,2h 16m,8.9,14K
8. The Apprentice,2024,2h 2m,7.1,34K
9. Queen of the Ring,2024,2h 10m,8.4,111
10. Amaran,2024,2h 47m,8.2,17K
11. William Tell,2024,2h 13m,6.4,251
12. Avicii - I'm Tim,2024,1h 35m,7.8,5.4K
13. Joy,2024,1h 55m,7.1,7.6K
14. Back to Black,2024,2h 2m,6.3,25K
15. Bonhoeffer: Pastor. Spy. Assassin.,2024,2h 13m,6.3,2.8K
16. Unfrosted,2024,1h 37m,5.5,34K
17. Reagan,2024,2h 21m,6.2,9.8K
18. The Fire Inside,2024,1h 49m,7.0,1.3K
19. Young Woman and the Sea,2024,2h 9m,7.5,15K
20. Ordinary Angels,2024,1h 58m,7.4,15K
21. The Remarkable Life of Ibelin,2024,1h 43m,8.2,11K
22. Harbin,2024,1h 48m,6.8,306
23. Luther: Never Too Much,2024,1h 41m,8.4,347
24. Super/Man: The Christopher Reeve Story,2024,1h 44m,8.0,7.5K
25. Putin,2024,1h 49m,3.0,407
26. Bob Marley: One Love,2024,1h 47m,6.2,33K
27. Piece by Piece,2024,1h 33m,6.9,4K
28. Midas Man,2024,1h 52m,6.4,1.3K
29. Scoop,2024,1h 42m,6.5,20K
30. El 47,2024,1h 50m,7.3,1.7K
31. Cabrini,2024,2h 22m,7.3,8.1K
32. Stelios,2024,2h 12m,7.4,1.3K
33. Maharaj,2024,2h 11m,6.5,14K
34. Diddy: Summit to Plummet,2024,1h,2.2,150
35. Monsieur Aznavour,2024,2h 13m,7.5,1.5K
36. Winner,2024,1h 43m,6.3,1.5K
37. Rob Peace,2024,2h,6.6,1.5K
38. Goebbels and the Führer,2024,2h 15m,6.7,1.6K
39. Chandu Champion,2024,2h 22m,7.8,33K
40. Quisling: The Final Days,2024,2h 26m,7.1,845
41. Maidaan,2024,3h 1m,7.9,22K
42. Being Maria,2024,1h 40m,6.1,446
43. Freedom,2024,1h 50m,5.9,1.2K
44. Race for Glory: Audi vs. Lancia,2024,1h 49m,5.8,4.4K
45. Never Look Away,2024,1h 25m,7.1,186
46. Amar Singh Chamkila,2024,2h 25m,7.8,16K
47. Becoming Hitchcock: The Legacy of Blackmail,2024,1h 12m,7.3,121
48. Srikanth,2024,2h 14m,7.4,14K
49. Biggest Heist Ever,2024,1h 25m,6.1,1.2K
50. Music by John Williams,2024,1h 45m,8.2,4.2K
51. Shirley,2024,1h 57m,6.2,3.1K
52. The Firing Squad,2024,1h 33m,5.3,4.8K
53. The Ballad of Davy Crockett,2024,1h 36m,4.6,224
54. Limonov: The Ballad of Eddie,2024,2h 18m,6.0,542
55. Laura,2024,1h 44m,6.7,114
56. Saint-Exupéry,2024,1h 38m,5.5,173
57. Audrey's Children,2024,1h 50m,8.8,37
"58. From Hilde, with Love",2024,2h 5m,7.2,538
59. Elton John: Never Too Late,2024,1h 42m,6.8,841
60. Faith of Angels,2024,1h 38m,8.3,96
61. I Am: Celine Dion,2024,1h 43m,7.8,7.6K
62. Havnaa,2024,1h 50m,7.2,197
63. Faye,2024,1h 31m,7.1,3K
64. Jim Henson: Idea Man,2024,1h 51m,7.7,3.7K
65. Niki,2024,1h 38m,5.9,231
66. Atatürk II: 1881-1919,2024,2h 21m,9.0,1.6K
67. ZEF: The Story of Die Antwoord,2024,1h 30m,7.4,719
68. Nedelja,2024,2h 10m,7.2,1.8K
69. The Shamrock Spitfire,2024,1h 48m,5.2,447
"70. Sarah Bernhardt, la divine",2024,1h 38m,6.1,136
71. Nahir,2024,2h 2m,4.7,1.1K
72. Now or Never!,2024,N/A,2.0,17K
73. Boléro,2024,2h,6.6,671
74. From Roger Moore with Love,2024,1h 19m,7.4,246
75. Silvio,2024,1h 54m,2.9,438
76. Go Against the Flow,2024,1h 37m,5.6,101
77. Tears of Cem Karaca,2024,2h 3m,7.2,1.7K
78. Kulej. Dwie strony medalu,2024,2h 28m,6.5,223
79. Papa,2024,2h 11m,7.5,233
80. Gundi: Legend of Love,2024,2h 46m,9.1,5.2K
81. John Cranko,2024,2h 13m,7.1,151
82. The Beach Boys,2024,1h 53m,7.1,2K
83. Ravens,2024,1h 57m,8.3,46
84. La casa,2024,1h 23m,7.0,787
85. La Grande,2024,1h 35m,8.9,31
"86. Disco, Ibiza, Locomia",2024,1h 44m,6.0,1.4K
87. Beautiful Rebel,2024,1h 52m,6.3,943
88. Federer: Twelve Final Days,2024,1h 28m,7.3,3.9K
89. Bogart: Life Comes in Flashes,2024,1h 39m,6.8,331
90. One to One: John & Yoko,2024,1h 40m,7.0,51
91. Greenwood Rising: The Rise of Black Wall Street,2024,N/A,9.1,38
92. Road Diary: Bruce Springsteen and the E Street Band,2024,1h 39m,7.7,916
93. The Truth vs. Alex Jones,2024,2h 1m,7.5,2.9K
94. Swatantrya Veer Savarkar,2024,2h 56m,7.7,17K
95. Bir Cumhuriyet Sarkisi,2024,2h 8m,7.7,346
96. The Life and Deaths of Christopher Lee,2024,1h 39m,7.1,380
97. Pavements,2024,2h 8m,7.1,124
98. Patrice: The Movie,2024,1h 42m,8.4,198
99. National Theatre Live: Nye,2024,2h 40m,8.1,233
100. Becoming Madonna,2024,N/A,7.6,78
101. The Great Ambition,2024,2h 3m,7.3,591
102. Saint Nick of Bethlehem,2024,1h 33m,9.4,87
103. Lula,2024,1h 30m,5.8,157
104. Stevie Van Zandt: Disciple,2024,2h 27m,7.9,622
105. The Peanut Man,2024,N/A,8.5,15
106. Simona Kossak,2024,1h 40m,6.2,147
107. Sabbath Queen,2024,1h 45m,8.1,52
108. Prodigieuses,2024,1h 41m,7.0,87
109. Drazen,2024,1h 40m,6.8,445
110. Ae Watan Mere Watan,2024,2h 13m,4.7,1.4K
111. Chhatrapati Sambhaji,2024,3h 6m,4.9,190
112. Jenni,2024,1h 53m,6.6,38
113. Miséria,2024,1h 39m,5.4,96
114. Dharmaveer 2,2024,2h 10m,5.8,10K
115. A Bronx Tale: The Original One Man Show,2024,N/A,N/A,N/A
116. Samia,2024,1h 42m,7.4,85
117. God Be with Us,2024,1h 30m,7.5,12
118. Vindication Swim,2024,1h 38m,6.2,178
119. The Man Who Loved UFOs,2024,1h 47m,5.2,552
120. Münter & Kandinsky,2024,2h 6m,6.6,70
121. Blood'less' Revolution,2024,1h 43m,6.7,255
122. Chhava,2024,51m,9.3,1.1K
123. Hyper: The Stevie Hyper D Story,2024,1h 31m,8.9,26
124. Klitschko: More Than a Fight,2024,1h 36m,6.3,472
125. Hayatla Baris,2024,2h 5m,6.3,337
126. The Sidemen Story,2024,1h 39m,6.6,1.7K
"127. Carville: Winning Is Everything, Stupid",2024,1h 38m,7.3,232
128. Memoir Seorang Guru,2024,2h,7.0,112
129. Daytime Revolution,2024,1h 48m,7.1,37
130. Estimados Señores,2024,N/A,7.8,49
131. Bach - Ein Weihnachtswunder,2024,1h 29m,6.2,158
"132. Iki Gözüm Ahmet, Sürgün",2024,1h 53m,3.9,135
133. Main Atal Hoon,2024,2h 19m,6.9,6.2K
134. Who Killed Lawrence of Arabia?,2024,1h 40m,6.5,32
135. Satyashodhak,2024,2h 25m,8.4,352
136. Karina,2024,1h 31m,7.0,15
137. Cookster: The Darkest Days,2024,1h 59m,7.6,22
138. Suzzanna: The Queen of Black Magic,2024,1h 28m,6.7,33
139. Glenn Fredly: The Movie,2024,2h 1m,6.8,113
140. Madu,2024,1h 40m,5.4,253
141. Oscar Wilde About America,2024,1h 38m,N/A,N/A
142. Funmilayo Ransome-Kuti,2024,1h 31m,8.4,88
143. Diane von Furstenberg: Woman in Charge,2024,1h 37m,7.2,293
144. Sadik Ahmet,2024,2h 5m,7.7,394
145. Wingless,2024,1h 50m,7.7,71
146. Obraz,2024,1h 35m,7.5,15
147. Parvin,2024,N/A,5.1,31
148. The World According to Allee Willis,2024,1h 37m,8.1,47
149. Taghiev: Oil,2024,2h,9.1,37
150. Mit einem Tiger schlafen,2024,1h 47m,6.8,144
151. Gary,2024,1h 31m,6.6,489
152. She-Wolf in Hollywood: The Story of Maria Ouspenskaya,2024,59m,N/A,N/A
153. The Legend of Sudarshan Chakra,2024,2h 40m,9.3,19
154. Lafran,2024,1h 39m,8.2,14
155. Padatik,2024,2h 6m,8.3,96
156. Faruk,2024,1h 37m,6.6,373
157. Komandir,2024,2h 11m,6.4,499
