Title,Year,Duration,IMDb Rating,Votes
1. Nosferatu,2024,2h 12m,7.5,115K
2. Sonic the Hedgehog 3,2024,1h 50m,7.1,34K
3. Wicked,2024,2h 40m,7.7,115K
4. Mufasa: The Lion King,2024,1h 58m,6.7,34K
5. Better Man,2024,2h 15m,7.7,11K
6. Flow,2024,1h 25m,7.9,24K
7. Moana 2,2024,1h 40m,7.0,68K
8. Megalopolis,2024,2h 18m,4.8,32K
9. Beetlejuice Beetlejuice,2024,1h 45m,6.7,135K
10. The Sand Castle,2024,1h 38m,4.7,641
11. Red One,2024,2h 3m,6.3,131K
12. The Lord of the Rings: The War of the Rohirrim,2024,2h 14m,6.4,21K
13. Inside Out 2,2024,1h 36m,7.6,201K
14. Parthenope,2024,2h 16m,6.9,4K
15. Transformers One,2024,1h 44m,7.6,43K
16. IF,2024,1h 44m,6.4,54K
17. The Watchers,2024,1h 42m,5.7,52K
18. Godzilla x Kong: The New Empire,2024,1h 55m,6.1,116K
19. The Crow,2024,1h 51m,4.7,29K
20. Ghostbusters: Frozen Empire,2024,1h 55m,6.1,90K
21. Solo Leveling: ReAwakening,2024,2h 1m,8.4,2.9K
22. Damsel,2024,1h 50m,6.1,106K
23. The Life of Chuck,2024,1h 50m,7.7,424
24. Kung Fu Panda 4,2024,1h 34m,6.3,64K
25. Uglies,2024,1h 40m,4.7,31K
26. The End,2024,2h 28m,5.6,1.2K
27. Spellbound,2024,1h 49m,5.7,5.7K
28. Monster Summer,2024,1h 37m,5.7,3K
29. The Garfield Movie,2024,1h 41m,5.7,22K
30. Kalki 2898 AD,2024,3h,7.0,64K
31. Harold and the Purple Crayon,2024,1h 30m,5.7,7.1K
32. Descendants: The Rise of Red,2024,1h 31m,4.7,6.7K
33. Girl Haunts Boy,2024,1h 40m,6.3,2.5K
34. Dear Santa,2024,1h 47m,5.4,18K
35. Rebel Moon - Part Two: The Scargiver,2024,2h 2m,5.3,58K
36. Thangalaan,2024,2h 36m,6.7,6.1K
37. The Thundermans Return,2024,1h 10m,4.9,1.7K
38. Family Pack,2024,1h 34m,5.5,7.9K
39. The Tearsmith,2024,1h 43m,5.2,11K
40. Hot Frosty,2024,1h 32m,5.3,14K
41. Irish Wish,2024,1h 33m,5.2,21K
42. The Best Christmas Pageant Ever,2024,1h 39m,6.8,5.7K
43. Pedro Páramo,2024,2h 10m,6.3,2.6K
