Title,Year,Duration,IMDb Rating,Votes
1. Anora,2024,2h 19m,7.8,75K
2. Wicked,2024,2h 40m,7.7,115K
3. It Ends with Us,2024,2h 10m,6.4,71K
4. Queer,2024,2h 17m,6.5,11K
5. We Live in Time,2024,1h 48m,7.0,36K
6. The Fall Guy,2024,2h 6m,6.8,206K
7. Challengers,2024,2h 11m,7.1,140K
8. The Count of Monte-Cristo,2024,2h 58m,7.6,27K
9. My Old Ass,2024,1h 29m,7.0,33K
10. Love Lies Bleeding,2024,1h 44m,6.6,53K
11. Fly Me to the Moon,2024,2h 12m,6.6,44K
12. All We Imagine as Light,2024,1h 58m,7.2,5.8K
13. Culpa Tuya,2024,1h 58m,5.2,10K
14. The Crow,2024,1h 51m,4.7,29K
15. Grafted,2024,1h 36m,5.8,470
16. The Idea of You,2024,1h 55m,6.3,69K
17. Emmanuelle,2024,1h 47m,4.5,677
18. A Family Affair,2024,1h 51m,5.3,35K
19. Sidelined: The QB and Me,2024,1h 39m,5.9,2.8K
20. Lonely Planet,2024,1h 34m,5.7,10K
21. La Cocina,2024,2h 19m,7.3,1.6K
22. Your Monster,2024,1h 43m,6.4,3.8K
23. Touch,2024,2h 1m,7.4,4.5K
24. Girls Will Be Girls,2024,1h 58m,7.1,1.8K
25. Upgraded,2024,1h 44m,6.1,28K
26. Young Woman and the Sea,2024,2h 9m,7.5,16K
27. Killer Heat,2024,1h 37m,5.6,12K
28. Lick,2024,1h 15m,6.5,456
29. Girl Haunts Boy,2024,1h 40m,6.3,2.5K
30. Boot Camp,2024,1h 34m,5.7,820
31. Find Me Falling,2024,1h 33m,6.3,12K
32. Ask Me What You Want,2024,1h 54m,3.4,240
33. Mother of the Bride,2024,1h 28m,4.8,16K
34. Our Little Secret,2024,1h 41m,5.7,22K
35. Lisa Frankenstein,2024,1h 41m,6.1,27K
36. My Favourite Cake,2024,1h 37m,7.5,5.7K
37. Winter Spring Summer or Fall,2024,1h 37m,6.2,314
38. Someone Like You,2024,1h 58m,5.8,1.6K
