Title,Year,Duration,IMDb Rating,Votes
1. The Substance,2024,2h 21m,7.3,220K
2. Sonic the Hedgehog 3,2024,1h 50m,7.1,34K
3. Alien: Romulus,2024,1h 59m,7.1,217K
4. The Wild Robot,2024,1h 42m,8.2,123K
5. Dune: Part Two,2024,2h 46m,8.5,588K
6. Deadpool & Wolverine,2024,2h 8m,7.6,458K
7. Subservience,2024,1h 46m,5.4,23K
8. Furiosa: A Mad Max Saga,2024,2h 28m,7.5,263K
9. Venom: The Last Dance,2024,1h 50m,6.0,88K
10. Distant,2024,1h 27m,5.7,2.2K
11. Megalopolis,2024,2h 18m,4.8,32K
12. Wallace & Gromit: Vengeance Most Fowl,2024,1h 22m,7.6,25K
13. Borderlands,2024,1h 41m,4.6,40K
14. A Quiet Place: Day One,2024,1h 39m,6.3,138K
15. Elevation,2024,1h 31m,5.6,10K
16. Despicable Me 4,2024,1h 34m,6.2,57K
17. Transformers One,2024,1h 44m,7.6,43K
18. It's What's Inside,2024,1h 43m,6.6,37K
19. Kingdom of the Planet of the Apes,2024,2h 25m,6.9,144K
20. Godzilla x Kong: The New Empire,2024,1h 55m,6.1,116K
21. Madame Web,2024,1h 56m,4.0,97K
22. Ghostbusters: Frozen Empire,2024,1h 55m,6.1,90K
23. Y2K,2024,1h 31m,4.9,8.4K
24. Slingshot,2024,1h 48m,5.7,7.8K
25. Arcadian,2024,1h 32m,5.5,21K
26. Love Me,2024,1h 32m,5.4,1.1K
27. The Life of Chuck,2024,1h 50m,7.7,424
28. Survive,2024,1h 30m,4.6,1.6K
29. Uglies,2024,1h 40m,4.7,31K
30. The End,2024,2h 28m,5.6,1.2K
31. Apocalypse Z: The Beginning of the End,2024,1h 57m,6.1,18K
32. Spaceman,2024,1h 47m,5.7,41K
33. Time Cut,2024,1h 31m,5.0,17K
34. Kalki 2898 AD,2024,3h,7.0,64K
35. Afraid,2024,1h 24m,5.2,12K
36. Atlas,2024,1h 58m,5.6,54K
37. Alien: Rubicon,2024,1h 26m,2.5,252
38. Year 10,2024,1h 36m,5.4,1.6K
39. The Platform 2,2024,1h 39m,4.9,37K
40. The Day the Earth Blew Up: A Looney Tunes Movie,2024,1h 31m,7.0,425
41. Breathe,2024,1h 33m,4.2,6.7K
