Title,Year,Duration,IMDb Rating,Votes
1. Emilia Pérez,2024,2h 12m,6.1,41K
2. Babygirl,2024,1h 54m,6.5,18K
3. Conclave,2024,2h,7.4,78K
4. Pushpa: The Rule - Part 2,2024,3h 21m,6.3,46K
5. Blink Twice,2024,1h 42m,6.5,78K
6. A Different Man,2024,1h 52m,6.9,20K
7. Alien: Romulus,2024,1h 59m,7.1,217K
8. Juror #2,2024,1h 54m,7.0,74K
9. Kraven the Hunter,2024,2h 7m,5.4,32K
10. Presence,2024,1h 25m,6.7,2.9K
11. Heretic,2024,1h 51m,7.0,87K
12. The Calendar Killer,2024,1h 37m,5.5,2.3K
13. Carry-On,2024,1h 59m,6.5,144K
14. Civil War,2024,1h 49m,7.0,221K
15. Longlegs,2024,1h 41m,6.6,160K
16. Subservience,2024,1h 46m,5.4,23K
17. Furiosa: A Mad Max Saga,2024,2h 28m,7.5,263K
18. Venom: The Last Dance,2024,1h 50m,6.0,88K
19. The Killer's Game,2024,1h 44m,5.7,11K
20. Smile 2,2024,2h 7m,6.8,85K
21. Speak No Evil,2024,1h 50m,6.8,83K
22. September 5,2024,1h 35m,7.3,3K
23. Twisters,2024,2h 2m,6.5,152K
24. The Count of Monte-Cristo,2024,2h 58m,7.6,27K
25. The Order,2024,1h 56m,6.8,17K
26. Bad Boys: Ride or Die,2024,1h 55m,6.5,93K
27. Joker: Folie à Deux,2024,2h 18m,5.2,149K
28. The Sand Castle,2024,1h 38m,4.7,641
29. Abigail,2024,1h 49m,6.6,89K
30. Borderlands,2024,1h 41m,4.6,40K
31. Homestead,2024,1h 52m,5.7,2K
32. Love Lies Bleeding,2024,1h 44m,6.6,53K
33. The Beekeeper,2024,1h 45m,6.3,148K
34. Wolfs,2024,1h 48m,6.5,72K
35. Lucky Baskhar,2024,2h 28m,8.0,26K
36. A Quiet Place: Day One,2024,1h 39m,6.3,138K
37. Trap,2024,1h 45m,5.9,122K
38. Elevation,2024,1h 31m,5.6,10K
39. Rebel Ridge,2024,2h 11m,6.8,80K
40. Werewolves,2024,1h 33m,4.4,4.8K
41. Eden,2024,2h,6.1,738
42. The Seed of the Sacred Fig,2024,2h 47m,7.6,6.4K
43. It's What's Inside,2024,1h 43m,6.6,37K
44. The Watchers,2024,1h 42m,5.7,52K
45. Caddo Lake,2024,1h 43m,6.9,37K
46. Kingdom of the Planet of the Apes,2024,2h 25m,6.9,144K
47. Godzilla x Kong: The New Empire,2024,1h 55m,6.1,116K
48. The Bad Shepherd,2024,1h 31m,4.4,503
49. Madame Web,2024,1h 56m,4.0,97K
50. Oddity,2024,1h 38m,6.7,36K
51. The Crow,2024,1h 51m,4.7,29K
52. Grafted,2024,1h 36m,5.8,470
53. Don't Move,2024,1h 32m,5.8,35K
54. The Union,2024,1h 47m,5.4,50K
55. Clear Cut,2024,1h 28m,3.7,347
56. Argylle,2024,2h 19m,5.6,90K
57. Monkey Man,2024,2h 1m,6.8,87K
58. Cuckoo,2024,1h 42m,5.7,22K
59. Road House,2024,2h 1m,6.2,162K
60. Slingshot,2024,1h 48m,5.7,7.8K
61. Arcadian,2024,1h 32m,5.5,21K
62. Apartment 7A,2024,1h 47m,5.8,14K
63. Absolution,2024,1h 52m,5.2,6.1K
64. Sookshma Darshini,2024,2h 22m,7.9,7K
65. Immaculate,2024,1h 29m,5.8,50K
66. Dirty Angels,2024,1h 44m,4.3,2.6K
67. Maharaja,2024,2h 21m,8.4,62K
68. 2073,2024,1h 25m,5.0,1.2K
69. Drive-Away Dolls,2024,1h 24m,5.4,22K
70. Land of Bad,2024,1h 53m,6.6,48K
71. The Killer,2024,2h 6m,5.7,11K
