Title,Year,Duration,IMDb Rating,Votes
1. Sonic the Hedgehog 3,2024,1h 50m,7.1,33K
2. Pushpa: The Rule - Part 2,2024,3h 21m,6.3,46K
3. Gladiator II,2024,2h 28m,6.6,179K
4. Kraven the Hunter,2024,2h 7m,5.4,31K
5. Carry-On,2024,1h 59m,6.5,143K
6. Civil War,2024,1h 49m,7.0,221K
7. Marco,2024,2h 25m,7.5,15K
8. The Fall Guy,2024,2h 6m,6.8,205K
9. Dune: Part Two,2024,2h 46m,8.5,587K
10. Deadpool & Wolverine,2024,2h 8m,7.6,457K
11. Furiosa: A Mad Max Saga,2024,2h 28m,7.5,263K
12. Twisters,2024,2h 2m,6.5,151K
13. Venom: The Last Dance,2024,1h 50m,6.0,87K
14. Red One,2024,2h 3m,6.3,130K
15. The Count of Monte-Cristo,2024,2h 58m,7.6,27K
16. The Lord of the Rings: The War of the Rohirrim,2024,2h 14m,6.4,21K
17. Homestead,2024,1h 52m,5.6,2K
18. The Ministry of Ungentlemanly Warfare,2024,2h 2m,6.8,126K
19. Bad Boys: Ride or Die,2024,1h 55m,6.5,93K
20. The Beekeeper,2024,1h 45m,6.3,148K
21. Borderlands,2024,1h 41m,4.6,40K
22. Love Lies Bleeding,2024,1h 44m,6.6,53K
23. Rebel Ridge,2024,2h 11m,6.8,80K
24. Transformers One,2024,1h 44m,7.6,43K
25. Solo Leveling: ReAwakening,2024,2h 1m,8.4,2.9K
26. Werewolves,2024,1h 33m,4.4,4.7K
27. Amaran,2024,2h 47m,8.2,17K
28. Absolution,2024,1h 52m,5.2,6.1K
29. William Tell,2024,2h 13m,6.4,250
30. Blitz,2024,2h,6.2,14K
31. Elevation,2024,1h 31m,5.6,10K
32. The Silent Hour,2024,1h 39m,6.1,5.7K
33. The Union,2024,1h 47m,5.4,50K
34. Monkey Man,2024,2h 1m,6.8,87K
35. Dirty Angels,2024,1h 44m,4.3,2.6K
36. The Crow,2024,1h 51m,4.7,29K
37. Boneyard,2024,1h 36m,4.1,4.4K
38. Road House,2024,2h 1m,6.2,162K
39. Godzilla x Kong: The New Empire,2024,1h 55m,6.1,116K
40. Baby John,2024,2h 39m,6.3,15K
41. Argylle,2024,2h 19m,5.6,90K
42. Kingdom of the Planet of the Apes,2024,2h 25m,6.9,144K
43. Madame Web,2024,1h 56m,4.0,97K
44. Apocalypse Z: The Beginning of the End,2024,1h 57m,6.1,18K
45. Thelma,2024,1h 38m,7.0,19K
46. Maharaja,2024,2h 21m,8.4,62K
47. Damsel,2024,1h 50m,6.1,106K
48. Hellboy: The Crooked Man,2024,1h 39m,4.5,11K
49. Rifle Club,2024,1h 53m,7.1,2.5K
50. Land of Bad,2024,1h 53m,6.6,48K
51. Armor,2024,1h 29m,3.5,3.2K
52. Lift,2024,1h 47m,5.5,48K
53. Drive-Away Dolls,2024,1h 24m,5.4,22K
54. Uglies,2024,1h 40m,4.7,30K
55. Kung Fu Panda 4,2024,1h 34m,6.3,64K
56. The Prosecutor,2024,1h 57m,7.2,581
57. The Instigators,2024,1h 41m,6.2,35K
58. Brothers,2024,1h 29m,5.4,12K
59. Kalki 2898 AD,2024,3h,7.0,64K
60. Azrael,2024,1h 26m,5.4,8.7K
61. Beverly Hills Cop: Axel F,2024,1h 58m,6.4,79K
62. Attack on Titan the Movie: The Last Attack,2024,2h 25m,9.3,11K
63. Fight or Flight,2024,1h 41m,6.8,309
64. Arcadian,2024,1h 32m,5.5,20K
65. The Killer,2024,2h 6m,5.7,11K
66. Twilight of the Warriors: Walled In,2024,2h 6m,7.0,7.2K
67. Aavesham,2024,2h 35m,7.8,26K
68. Descendants: The Rise of Red,2024,1h 31m,4.7,6.7K
69. Mura,2024,2h 9m,7.7,5.9K
70. Canary Black,2024,1h 41m,5.3,10K
71. The Killer's Game,2024,1h 44m,5.7,11K
72. Jackpot!,2024,1h 46m,5.8,29K
73. Trigger Warning,2024,1h 46m,4.6,19K
74. Singham Again,2024,2h 24m,4.9,74K
75. Weekend in Taipei,2024,1h 40m,5.7,3.4K
76. Sikandar Ka Muqaddar,2024,2h 22m,6.0,24K
77. Watchmen: Chapter I,2024,1h 23m,7.0,5.7K
78. Atlas,2024,1h 58m,5.6,54K
79. Classified,2024,1h 45m,3.7,1.8K
80. Rebel Moon - Part Two: The Scargiver,2024,2h 2m,5.3,58K
81. The Shadow Strays,2024,2h 24m,6.5,8.3K
82. Jigra,2024,2h 33m,6.1,23K
83. Kingdom 4: Return of the Great General,2024,2h 25m,7.2,852
84. Devara Part 1,2024,2h 56m,6.0,19K
85. Chief of Station,2024,1h 37m,4.7,4.1K
86. Harbin,2024,1h 48m,6.8,305
87. Night Call,2024,1h 37m,7.1,777
88. Fighter,2024,2h 46m,6.2,52K
89. UI,2024,2h 15m,7.2,5.4K
90. Gunner,2024,1h 46m,3.2,2.1K
91. Bachhala Malli,2024,2h 20m,8.6,3.7K
92. Trouble,2024,1h 38m,6.2,6.2K
93. Under Paris,2024,1h 44m,5.2,35K
94. Aftermath,2024,1h 37m,5.1,814
95. Viduthalai Part 2,2024,2h 50m,8.2,15K
96. Elyas,2024,1h 45m,6.0,897
97. Take Cover,2024,1h 30m,5.1,1.9K
98. Watchmen: Chapter II,2024,1h 30m,7.0,2K
99. Utopia,2024,1h 31m,3.6,277
100. S.T.A.L.K.E.R.: Shadow of the Zone,2024,1h 12m,5.4,358
101. Murder Company,2024,1h 26m,3.6,1.5K
102. Max,2024,2h 12m,7.7,2.5K
103. Life After Fighting,2024,2h 6m,6.4,1.7K
104. Kahar: Kapla High Council,2024,1h 42m,7.0,393
105. No Way Up,2024,1h 30m,4.6,9.8K
106. Damaged,2024,1h 37m,4.7,6.5K
107. Ferry 2,2024,1h 34m,5.6,3.3K
108. Red Right Hand,2024,1h 51m,5.4,5.4K
109. Night of the Zoopocalypse,2024,1h 31m,7.5,64
110. Role Play,2024,1h 40m,5.5,18K
111. Cash Out,2024,1h 32m,4.8,2.7K
112. Uprising,2024,2h 6m,6.6,4.9K
113. The Roundup: Punishment,2024,1h 49m,6.6,4.7K
114. Agni,2024,2h 2m,7.4,15K
115. The Thundermans Return,2024,1h 10m,4.9,1.7K
116. The Fix,2024,1h 38m,4.6,1K
117. Bougainvillea,2024,2h 18m,6.4,2.6K
118. Sunray: Fallen Soldier,2024,1h 55m,4.4,267
119. Dan Da Dan: First Encounter,2024,1h 23m,8.2,2.3K
120. My Spy The Eternal City,2024,1h 52m,5.7,10K
