Title,Year,Duration,IMDb Rating,Votes
1. Mufasa: The Lion King,2024,1h 58m,6.7,33K
2. Sonic the Hedgehog 3,2024,1h 50m,7.1,33K
3. Gladiator II,2024,2h 28m,6.6,179K
4. Flow,2024,1h 25m,7.9,23K
5. Civil War,2024,1h 49m,7.0,221K
6. Moana 2,2024,1h 40m,7.0,67K
7. Dune: Part Two,2024,2h 46m,8.5,587K
8. Deadpool & Wolverine,2024,2h 8m,7.6,457K
9. Furiosa: A Mad Max Saga,2024,2h 28m,7.5,263K
10. Twisters,2024,2h 2m,6.5,151K
11. Venom: The Last Dance,2024,1h 50m,6.0,87K
12. Red One,2024,2h 3m,6.3,130K
13. The Count of Monte-Cristo,2024,2h 58m,7.6,27K
14. Wallace & Gromit: Vengeance Most Fowl,2024,1h 22m,7.7,24K
15. The Lord of the Rings: The War of the Rohirrim,2024,2h 14m,6.4,21K
16. The Return,2024,1h 56m,6.2,5.4K
17. Bad Boys: Ride or Die,2024,1h 55m,6.5,93K
18. Paddington in Peru,2024,1h 46m,6.8,5.8K
19. Borderlands,2024,1h 41m,4.6,40K
20. Love Lies Bleeding,2024,1h 44m,6.6,53K
21. Inside Out 2,2024,1h 36m,7.6,200K
22. Transformers One,2024,1h 44m,7.6,43K
23. Solo Leveling: ReAwakening,2024,2h 1m,8.4,2.9K
24. Despicable Me 4,2024,1h 34m,6.2,57K
25. Survive,2024,1h 30m,4.6,1.6K
26. Godzilla x Kong: The New Empire,2024,1h 55m,6.1,116K
27. Kingdom of the Planet of the Apes,2024,2h 25m,6.9,144K
28. Madame Web,2024,1h 56m,4.0,97K
29. Ghostbusters: Frozen Empire,2024,1h 55m,6.1,90K
30. Damsel,2024,1h 50m,6.1,106K
31. Monster Summer,2024,1h 37m,5.7,3K
32. Uglies,2024,1h 40m,4.7,30K
33. Kung Fu Panda 4,2024,1h 34m,6.3,64K
34. Lost on a Mountain in Maine,2024,1h 38m,6.2,681
35. Kalki 2898 AD,2024,3h,7.0,64K
36. The Garfield Movie,2024,1h 41m,5.7,22K
37. Spaceman,2024,1h 47m,5.7,41K
38. Spellbound,2024,1h 49m,5.7,5.7K
39. Descendants: The Rise of Red,2024,1h 31m,4.7,6.7K
40. Harold and the Purple Crayon,2024,1h 30m,5.7,7.1K
41. That Christmas,2024,1h 31m,6.8,16K
42. Atlas,2024,1h 58m,5.6,54K
43. Rebel Moon - Part Two: The Scargiver,2024,2h 2m,5.3,58K
44. Arthur the King,2024,1h 47m,7.0,32K
45. The Best Christmas Pageant Ever,2024,1h 39m,6.8,5.7K
46. Manjummel Boys,2024,2h 15m,8.2,26K
47. The Day the Earth Blew Up: A Looney Tunes Movie,2024,1h 31m,7.0,422
48. The Goat Life,2024,2h 53m,7.1,46K
49. Family Pack,2024,1h 34m,5.5,7.9K
50. Autumn and the Black Jaguar,2024,1h 40m,5.6,893
51. Sasquatch Sunset,2024,1h 28m,5.4,5.1K
52. My Penguin Friend,2024,1h 37m,6.7,4.1K
53. No Way Up,2024,1h 30m,4.6,9.8K
54. Night of the Zoopocalypse,2024,1h 31m,7.5,64
55. Orion and the Dark,2024,1h 33m,6.3,16K
56. Megamind vs. The Doom Syndicate,2024,1h 23m,2.4,5.3K
57. Hanu Man,2024,2h 38m,7.7,29K
58. Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,6.2,8K
59. Thangalaan,2024,2h 36m,6.7,6.1K
60. The Unholy Trinity,2024,N/A,7.5,37
61. Something in the Water,2024,1h 26m,4.1,4K
62. Chico Bento e a Goiabeira Maraviosa,2024,1h 30m,7.7,249
63. Badland Hunters,2024,1h 47m,5.9,12K
64. A Legend,2024,2h 9m,4.7,769
65. Bookworm,2024,1h 43m,6.1,1.4K
66. Anaconda,2024,1h 24m,4.8,567
67. The Price of Money: A Largo Winch Adventure,2024,1h 40m,5.0,826
68. Dragonkeeper,2024,1h 38m,5.7,1.5K
69. Winner,2024,1h 43m,6.4,1.5K
70. Bade Miyan Chote Miyan,2024,2h 43m,3.8,39K
71. Hitpig,2024,1h 26m,5.0,667
72. Justice League: Crisis on Infinite Earths - Part Three,2024,1h 34m,6.1,4K
73. The Courier,2024,1h 41m,6.0,4.1K
74. Thelma the Unicorn,2024,1h 33m,5.7,2.8K
75. Freaky Tales,2024,1h 46m,6.9,192
76. Eat the Night,2024,1h 46m,6.2,356
77. Kanguva,2024,2h 32m,4.6,14K
78. Cult Killer,2024,1h 45m,4.8,2.6K
"79. I, the Executioner",2024,1h 58m,6.4,1.2K
80. Escape,2024,1h 34m,6.4,1.6K
81. Angels Fallen: Warriors of Peace,2024,1h 43m,5.0,5.7K
82. Saving Bikini Bottom: The Sandy Cheeks Movie,2024,1h 22m,3.7,3.5K
83. The Wages of Fear,2024,1h 44m,4.6,3.9K
84. Buffalo Kids,2024,1h 33m,6.6,514
85. Justice League: Crisis on Infinite Earths - Part Two,2024,1h 34m,5.5,4.9K
86. Woody Woodpecker Goes to Camp,2024,1h 40m,4.5,2.4K
87. Never Look Away,2024,1h 25m,7.2,183
88. Ultraman: Rising,2024,1h 57m,6.9,6K
89. 200% Wolf,2024,1h 38m,5.5,769
90. A.R.M,2024,2h 30m,7.1,8.2K
91. Golden Kamuy,2024,2h 7m,6.3,2.3K
92. Meanwhile on Earth,2024,1h 29m,6.0,764
93. Doraemon the Movie: Nobita's Earth Symphony,2024,1h 55m,6.5,1.3K
94. The Firing Squad,2024,1h 33m,5.3,4.8K
95. The Tiger's Apprentice,2024,1h 24m,5.7,2K
96. Sixty Minutes,2024,1h 28m,5.7,5K
97. The Last Redemption,2024,2h 2m,6.2,2.3K
98. Barroz: Guardian of Treasures,2024,2h 35m,4.0,699
99. My Hero Academia: You're Next,2024,1h 50m,7.0,1.4K
100. Operation Blood Hunt,2024,1h 33m,3.3,380
101. The Empire,2024,1h 50m,5.2,1K
102. Panda Bear in Africa,2024,1h 24m,5.6,267
103. Saint-Exupéry,2024,1h 38m,5.5,169
104. Mobile Suit Gundam SEED Freedom,2024,2h 4m,6.7,888
105. Noah's Ark,2024,1h 36m,4.3,573
106. Bambi: A Tale of Life in the Woods,2024,1h 25m,6.2,65
107. Guest from the Future,2024,2h 21m,6.0,1K
108. Pimpinero: Blood and Oil,2024,2h 1m,5.7,490
109. Powder Pup,2024,1h 29m,6.5,64
110. Overlord: The Sacred Kingdom,2024,2h 15m,7.1,626
111. Man and Witch: The Dance of a Thousand Steps,2024,1h 34m,5.6,293
112. Cells at Work!,2024,1h 49m,6.6,64
113. Its Name Was Mormo,2024,1h 33m,4.6,78
114. Captain Miller,2024,2h 37m,6.5,8.5K
115. Robin and the Hoods,2024,1h 40m,4.4,492
116. The Kingdom,2024,2h 13m,8.2,72
117. The Twisters,2024,1h 26m,2.6,296
118. Z-Mom,2024,1h 30m,4.6,42
119. Broken Rage,2024,1h 2m,7.6,52
120. Spiders on a Plane,2024,1h 18m,6.2,340
121. Next to Us,2024,2h 5m,4.9,185
122. Bionic,2024,1h 50m,4.3,1.7K
123. Going Viral,2024,1h 30m,7.1,37
124. The Keepers of the 5 Kingdoms,2024,1h 49m,4.0,188
125. War of the Worlds: Extinction,2024,1h 24m,3.1,133
126. Odio el verano,2024,1h 43m,5.2,498
127. Now or Never!,2024,N/A,2.0,17K
