Title,Year,Duration,IMDb Rating,Votes
1. Babygirl,2024,1h 54m,6.5,18K
2. Pushpa: The Rule - Part 2,2024,3h 21m,6.3,46K
3. Emilia Pérez,2024,2h 12m,6.2,39K
4. Juror #2,2024,1h 54m,7.0,74K
5. Carry-On,2024,1h 59m,6.5,143K
6. Longlegs,2024,1h 41m,6.6,160K
7. The Calendar Killer,2024,1h 37m,5.5,2.2K
8. The Order,2024,1h 56m,6.8,17K
9. Lucky Baskhar,2024,2h 28m,8.0,26K
10. Bad Boys: Ride or Die,2024,1h 55m,6.5,93K
11. The Beekeeper,2024,1h 45m,6.3,148K
12. Wolfs,2024,1h 48m,6.5,71K
13. Love Lies Bleeding,2024,1h 44m,6.6,53K
14. Trap,2024,1h 45m,5.9,122K
15. Rebel Ridge,2024,2h 11m,6.8,80K
16. MaXXXine,2024,1h 43m,6.3,62K
17. The Thicket,2024,1h 48m,5.8,2.4K
18. Absolution,2024,1h 52m,5.2,6.1K
19. Despicable Me 4,2024,1h 34m,6.2,57K
20. The Silent Hour,2024,1h 39m,6.1,5.8K
21. Monkey Man,2024,2h 1m,6.8,87K
22. The Crow,2024,1h 51m,4.7,29K
23. Boneyard,2024,1h 36m,4.1,4.4K
24. The Seed of the Sacred Fig,2024,2h 47m,7.6,6.3K
25. Sleeping Dogs,2024,1h 50m,6.2,19K
26. Maharaja,2024,2h 21m,8.4,62K
27. Armor,2024,1h 29m,3.5,3.2K
28. Lift,2024,1h 47m,5.5,48K
29. The Instigators,2024,1h 41m,6.2,35K
30. Laws of Man,2024,1h 38m,4.3,242
31. Brothers,2024,1h 29m,5.4,12K
32. The Sabarmati Report,2024,2h 7m,6.5,23K
33. Beverly Hills Cop: Axel F,2024,1h 58m,6.4,79K
34. Killer Heat,2024,1h 37m,5.6,12K
35. Twilight of the Warriors: Walled In,2024,2h 6m,7.0,7.3K
36. Trigger Warning,2024,1h 46m,4.6,19K
37. Sikandar Ka Muqaddar,2024,2h 22m,6.0,24K
38. Pani,2024,2h 23m,6.8,1.6K
39. The Shadow Strays,2024,2h 24m,6.5,8.3K
40. Greedy People,2024,1h 52m,6.2,9.2K
41. Harbin,2024,1h 48m,6.8,306
42. Putin,2024,1h 49m,3.0,407
43. Trouble,2024,1h 38m,6.2,6.2K
44. Viduthalai Part 2,2024,2h 50m,8.2,15K
45. Do Patti,2024,2h 6m,6.5,68K
46. Mea Culpa,2024,2h,4.2,6.8K
47. Santosh,2024,2h,7.0,999
48. Golam,2024,2h,7.2,5.1K
49. Kahar: Kapla High Council,2024,1h 42m,7.0,393
50. Lake George,2024,1h 58m,6.3,662
51. Damaged,2024,1h 37m,4.7,6.5K
52. Ferry 2,2024,1h 34m,5.6,3.3K
53. Depravity,2024,1h 57m,4.3,755
54. Sector 36,2024,2h 3m,7.1,24K
55. Maharaj,2024,2h 11m,6.5,14K
56. The Roundup: Punishment,2024,1h 49m,6.6,4.7K
57. Diddy: Summit to Plummet,2024,1h,2.2,150
58. Anweshippin Kandethum,2024,2h 22m,7.4,9.6K
59. The Thundermans Return,2024,1h 10m,4.9,1.7K
60. Bougainvillea,2024,2h 18m,6.4,2.6K
61. Justice,2024,1h 53m,6.3,3.5K
62. Colors of Evil: Red,2024,1h 51m,6.4,8K
63. Strictly Confidential,2024,1h 34m,2.8,769
64. Force of Nature: The Dry 2,2024,2h,5.9,6.1K
65. Megamind vs. The Doom Syndicate,2024,1h 23m,2.4,5.3K
66. Beating Hearts,2024,2h 46m,7.3,2.6K
67. Octopus with Broken Arms,2024,1h 49m,6.4,118
68. The Unholy Trinity,2024,N/A,7.5,37
69. The Soul Eater,2024,1h 48m,5.9,2.1K
70. Officer Black Belt,2024,1h 48m,6.8,7.4K
71. Badland Hunters,2024,1h 47m,5.9,12K
72. Blackwater Lane,2024,1h 48m,4.5,1.5K
73. Code 8: Part II,2024,1h 40m,5.7,15K
74. Crescent City,2024,1h 43m,3.9,1.2K
75. Drugstore June,2024,1h 31m,5.3,1.5K
76. Dead Sea,2024,1h 28m,5.3,4.9K
77. Last Known Location,2024,1h 50m,6.4,1.3K
78. Sorgavaasal,2024,2h 18m,6.7,1.1K
79. Inside,2024,1h 44m,7.1,118
80. Long Gone Heroes,2024,1h 32m,5.1,707
81. Boundless,2024,2h 1m,5.6,1.7K
82. The Courier,2024,1h 41m,6.0,4.1K
83. El Jockey,2024,1h 36m,6.5,1.2K
84. Misericordia,2024,1h 42m,7.1,825
85. Hijack 1971,2024,1h 40m,6.8,3K
86. Freaky Tales,2024,1h 46m,6.8,193
87. Riff Raff,2024,1h 43m,7.7,91
88. Cult Killer,2024,1h 45m,4.8,2.6K
89. Marmalade,2024,1h 39m,6.2,3.3K
90. Vettaiyan,2024,2h 43m,7.1,39K
91. Duchess,2024,1h 54m,4.6,1.1K
92. Darkness of Man,2024,1h 49m,4.4,1.8K
93. First Shift,2024,1h 29m,4.3,1.8K
"94. I, the Executioner",2024,1h 58m,6.4,1.2K
95. ChiefsAholic: A Wolf in Chiefs Clothing,2024,2h 1m,6.2,298
96. In Her Place,2024,1h 36m,6.2,1.3K
97. Maldoror,2024,2h 35m,7.1,397
98. City Hunter,2024,1h 42m,6.3,5.3K
99. Ulajh,2024,2h 30m,6.0,24K
100. The Clean Up Crew,2024,1h 35m,4.2,979
101. Freedom,2024,1h 50m,5.9,1.2K
102. King Ivory,2024,2h 10m,7.4,40
103. Jönssonligan kommer tillbaka,2024,1h 44m,6.3,442
104. Revolver,2024,1h 54m,5.4,747
105. The Quiet Ones,2024,1h 50m,6.5,406
106. Bhakshak,2024,2h 14m,7.2,7K
107. Biggest Heist Ever,2024,1h 25m,6.1,1.2K
108. GTMax,2024,1h 40m,5.0,1.1K
109. Lover Stalker Killer,2024,1h 30m,7.0,13K
110. 5lbs of Pressure,2024,1h 51m,5.3,1.5K
111. The Smile Man,2024,2h 2m,8.0,921
112. Uninvited,2024,1h 33m,7.2,64
113. A Place Called Silence,2024,1h 59m,6.4,1.1K
114. Strangers,2024,1h 46m,4.4,336
115. Zebra,2024,2h 44m,8.1,3.1K
116. Ride,2024,1h 54m,5.8,282
117. Mr. Bachchan,2024,2h 30m,3.6,5.2K
118. The Lockdown,2024,1h 57m,4.3,570
119. Savi,2024,2h 6m,6.2,35K
120. Anand Sreebala,2024,2h 14m,6.8,1.9K
121. Barron's Cove,2024,1h 56m,8.5,21
122. Raayan,2024,2h 25m,6.5,10K
123. Guns & Moses,2024,1h 34m,8.2,32
124. The Trainer,2024,1h 35m,7.0,48
125. The Texas Cheerleader Murder Plot,2024,1h 40m,5.0,262
126. Kingsmen,2024,1h 12m,6.6,31
127. What Jennifer Did,2024,1h 27m,6.1,11K
128. Bloodline Killer,2024,1h 45m,3.8,4.3K
129. Wanted Man,2024,1h 25m,4.8,2.5K
130. Thalavan,2024,2h 11m,7.2,4.1K
131. Suspicion,2024,1h 55m,3.5,183
132. Filthy Animals,2024,1h 36m,7.7,71
133. G - 21 scener från Gottsunda,2024,1h 20m,7.0,158
134. Remember Us,2024,1h 36m,6.6,29
135. Auron Mein Kahan Dum Tha,2024,2h 30m,6.6,40K
136. Bogota: City of the Lost,2024,1h 48m,7.6,85
137. How to Rob a Bank,2024,1h 28m,6.6,4K
138. Toofan,2024,2h 25m,7.2,6K
139. Mission: Cross,2024,1h 45m,6.1,2.4K
140. Havnaa,2024,1h 50m,7.2,197
141. The Murder of Sandra Rivett,2024,1h 30m,6.2,131
142. Jailbreak: Love on the Run,2024,1h 28m,6.4,2.7K
143. Matka,2024,2h 36m,4.8,532
144. The Kingdom,2024,2h 13m,8.2,72
145. Green Bones,2024,1h 36m,7.7,161
146. The Waterboyz,2024,1h 29m,8.3,61
147. Dutch II: Angel's Revenge,2024,N/A,6.7,76
148. Fyre Rises,2024,1h 50m,6.6,317
149. Serpent's Path,2024,1h 52m,5.8,236
150. They Called Him Mostly Harmless,2024,1h 29m,5.9,3.1K
151. Oppa,2024,1h 24m,8.5,43
152. Baby Assassins: Nice Days,2024,1h 43m,7.4,199
153. Here Now,2024,1h 58m,5.2,134
154. Loverboy: Emoties Uit,2024,1h 38m,6.5,392
155. The Kingdom,2024,1h 48m,7.1,376
156. Nice Girls,2024,1h 32m,4.2,1.1K
157. To a Land Unknown,2024,1h 45m,7.3,314
158. Sattam En Kaiyil,2024,2h 4m,8.1,2.1K
159. Hellhound,2024,1h 43m,4.4,454
160. Io e te dobbiamo parlare,2024,1h 35m,4.1,120
161. Nahir,2024,2h 2m,4.7,1.1K
162. Silvio,2024,1h 54m,2.9,438
163. Prepare to Die,2024,1h 33m,4.8,217
164. Untamed Royals,2024,1h 39m,4.6,603
165. The Park Maniac,2024,1h 43m,4.9,1.5K
166. Zabt,2024,N/A,7.4,9
167. Tillu Square,2024,2h 17m,6.6,3.3K
168. Nunakuzhi,2024,2h 5m,6.8,2.8K
169. Bermondsey Tales: Fall of the Roman Empire,2024,1h 39m,4.4,164
170. 9 Windows,2024,1h 22m,3.5,274
171. The Plot,2024,1h 40m,4.8,337
172. Sicilian Letters,2024,2h 2m,6.2,463
173. Dead Mail,2024,1h 46m,6.7,265
174. Ballistic,2024,1h 35m,2.3,147
175. 10 Days of a Curious Man,2024,1h 50m,5.8,1.1K
176. Out for Vengeance,2024,N/A,7.7,55
177. A Gangster's Kiss,2024,1h 21m,5.1,38
178. Borderless Fog,2024,1h 50m,5.2,1.2K
179. Dead Wrong,2024,1h 44m,3.8,243
180. Accident or Conspiracy: Godhra,2024,2h 13m,7.5,764
181. Nirangal Moondru,2024,2h 2m,6.1,460
182. Papa,2024,2h 11m,7.5,233
"183. MoviePass, MovieCrash",2024,1h 36m,6.7,2.8K
184. The Birds Who Fear Death,2024,1h 42m,9.4,66
185. Roadkill,2024,1h 30m,3.6,659
186. Rautu Ka Raaz,2024,1h 54m,6.3,1.9K
187. Phir Aayi Hasseen Dillruba,2024,2h 12m,5.8,6.6K
188. Sayara,2024,1h 38m,5.8,239
189. Svemu dodje kraj,2024,1h 29m,6.7,216
190. Citizen of a Kind,2024,1h 54m,6.7,686
191. Scorched Earth,2024,1h 41m,6.7,368
"192. Hemet, or the Landlady Don't Drink Tea",2024,1h 29m,4.3,63
193. Two to One,2024,1h 56m,6.1,560
194. Plea,2024,1h 28m,8.2,11
195. The Pee Pee Poo Poo Man,2024,1h 19m,8.1,12
196. The Truth vs. Alex Jones,2024,2h 1m,7.5,2.9K
197. Cubic Zirconia,2024,N/A,8.3,46
198. Amish Affair,2024,1h 26m,5.9,154
199. Abraham Ozler,2024,2h 23m,6.5,4K
200. Chameleon,2024,2h 13m,6.5,21
201. Maloney - Die ersten drei haarsträubenden Fälle,2024,1h 38m,6.8,69
202. Conquer: Lahad Datu,2024,2h,6.7,462
203. Kaulayaw,2024,1h 35m,4.6,118
204. Crisis Negotiators,2024,2h,6.7,646
205. Drive,2024,1h 30m,5.7,277
206. Midas,2024,1h 25m,4.6,323
207. Mathu Vadalara 2,2024,2h 19m,7.0,1.5K
