Title,Year,Duration,IMDb Rating,Votes
1. Nosferatu,2024,2h 12m,7.5,115K
2. The Substance,2024,2h 21m,7.3,220K
3. Alien: Romulus,2024,1h 59m,7.1,217K
4. Presence,2024,1h 25m,6.7,2.9K
5. Heretic,2024,1h 51m,7.0,87K
6. Longlegs,2024,1h 41m,6.6,160K
7. Nightbitch,2024,1h 39m,5.6,13K
8. Smile 2,2024,2h 7m,6.8,85K
9. Speak No Evil,2024,1h 50m,6.8,83K
10. The Damned,2024,1h 29m,5.9,1.8K
11. Beetlejuice Beetlejuice,2024,1h 45m,6.7,135K
12. Get Away,2024,1h 26m,5.3,4.3K
13. Kinds of Kindness,2024,2h 44m,6.5,54K
14. Abigail,2024,1h 49m,6.6,89K
15. Terrifier 3,2024,2h 5m,6.4,44K
16. A Quiet Place: Day One,2024,1h 39m,6.3,138K
17. Trap,2024,1h 45m,5.9,122K
18. Werewolves,2024,1h 33m,4.4,4.8K
19. I Saw the TV Glow,2024,1h 40m,5.8,32K
20. MaXXXine,2024,1h 43m,6.3,62K
21. The Watchers,2024,1h 42m,5.7,52K
22. Oddity,2024,1h 38m,6.7,36K
23. The Crow,2024,1h 51m,4.7,29K
24. Grafted,2024,1h 36m,5.8,470
25. Don't Move,2024,1h 32m,5.8,35K
26. Azrael,2024,1h 26m,5.4,8.7K
27. Hellboy: The Crooked Man,2024,1h 39m,4.5,11K
28. Cuckoo,2024,1h 42m,5.7,22K
29. Y2K,2024,1h 31m,4.9,8.4K
30. Arcadian,2024,1h 32m,5.5,21K
31. Apartment 7A,2024,1h 47m,5.8,14K
32. Immaculate,2024,1h 29m,5.8,50K
33. Salem's Lot,2024,1h 54m,5.6,31K
34. The First Omen,2024,1h 59m,6.5,61K
35. Apocalypse Z: The Beginning of the End,2024,1h 57m,6.1,18K
36. In a Violent Nature,2024,1h 34m,5.6,24K
37. The Front Room,2024,1h 34m,4.6,4.6K
"38. Die, My Love",2024,N/A,N/A,N/A
39. MadS,2024,1h 29m,6.4,5.9K
40. Exhuma,2024,2h 14m,6.9,21K
41. Your Monster,2024,1h 43m,6.4,3.8K
42. Time Cut,2024,1h 31m,5.0,17K
43. Afraid,2024,1h 24m,5.2,12K
44. Never Let Go,2024,1h 41m,5.4,12K
45. The Deliverance,2024,1h 52m,5.1,21K
46. Year 10,2024,1h 36m,5.4,1.6K
47. Outbreak,2024,1h 28m,4.5,622
48. Tarot,2024,1h 32m,4.8,30K
49. Winnie-the-Pooh: Blood and Honey 2,2024,1h 33m,4.7,11K
50. The Platform 2,2024,1h 39m,4.9,37K
51. The Strangers: Chapter 1,2024,1h 31m,4.6,21K
52. The Devil's Bath,2024,2h 1m,6.6,5.2K
53. The Exorcism,2024,1h 35m,4.2,11K
54. Bagman,2024,1h 33m,4.7,3.6K
55. Under Paris,2024,1h 44m,5.2,35K
56. Lisa Frankenstein,2024,1h 41m,6.1,27K
57. Bloody Axe Wound,2024,1h 23m,4.9,317
58. Stree 2: Sarkate Ka Aatank,2024,2h 27m,7.0,40K
59. Succubus,2024,1h 43m,4.6,1K
60. You Shall Not Sleep Tonight,2024,1h 17m,4.2,235
61. The Beast Within,2024,1h 37m,4.2,4.1K
62. The Inheritance,2024,1h 25m,4.7,2.5K
63. A Sacrifice,2024,1h 34m,5.1,4.7K
64. Stream,2024,2h 3m,5.5,5.7K
65. Sting,2024,1h 31m,5.7,15K
66. Hold Your Breath,2024,1h 34m,5.3,7.9K
67. Rumours,2024,1h 44m,5.1,3.5K
68. Night Swim,2024,1h 38m,4.7,26K
69. Daddy's Head,2024,1h 32m,5.6,4.1K
70. Die Alone,2024,1h 31m,5.7,2.1K
71. V/H/S/Beyond,2024,1h 54m,5.9,8.5K
72. Bhool Bhulaiyaa 3,2024,2h 38m,4.7,76K
73. Something in the Water,2024,1h 26m,4.1,4K
74. Pedro Páramo,2024,2h 10m,6.3,2.6K
75. River of Blood,2024,1h 26m,4.1,207
76. The Rule of Jenny Pen,2024,1h 43m,6.7,167
77. You Can't Run Forever,2024,1h 42m,4.5,4K
78. Bramayugam,2024,2h 19m,7.8,13K
79. Imaginary,2024,1h 44m,4.7,16K
80. Outside,2024,2h 22m,5.1,4.2K
81. Munjya,2024,2h 3m,6.3,24K
82. Love Me Dead,2024,1h 27m,7.3,18
83. Spin the Bottle,2024,2h 4m,3.5,763
84. The Mouse Trap,2024,1h 20m,2.5,2.7K
85. What Lurks Beneath,2024,1h 42m,4.6,715
86. Out Come the Wolves,2024,1h 26m,4.7,1.3K
87. #AMFAD: All My Friends Are Dead,2024,1h 31m,4.5,1.1K
88. The Soul Eater,2024,1h 48m,5.9,2.1K
89. Humane,2024,1h 33m,5.5,6.1K
90. The Little Mermaid,2024,R,5.1,74
91. DarkGame,2024,1h 40m,4.6,2.7K
92. The Radleys,2024,1h 55m,5.0,2.3K
93. Lowlifes,2024,1h 30m,6.2,5.8K
94. Blackwater Lane,2024,1h 48m,4.5,1.5K
95. Shaitaan,2024,2h 12m,6.5,53K
96. Handling the Undead,2024,1h 37m,5.4,4K
97. Anaconda,2024,1h 24m,4.8,569
98. The Painted,2024,1h 25m,5.0,129
99. Lembayung,2024,2h 3m,6.4,580
100. Crescent City,2024,1h 43m,3.9,1.2K
101. Dan Da Dan: First Encounter,2024,1h 23m,8.2,2.3K
102. Little Bites,2024,1h 45m,4.5,768
103. The Last Breath,2024,1h 36m,4.7,1.7K
104. Invasive,2024,1h 37m,5.8,563
105. Dark Match,2024,1h 34m,6.1,137
106. Shell,2024,1h 40m,6.6,59
107. Killer Body Count,2024,1h 49m,4.8,588
108. Conjuring the Cult,2024,1h 33m,5.3,527
109. Shelby Oaks,2024,1h 39m,6.0,220
110. Things Will Be Different,2024,1h 42m,5.2,1.6K
111. The Balconettes,2024,1h 44m,6.3,601
112. Black Cab,2024,1h 28m,4.2,1.5K
113. Cadi,2024,2h 14m,6.4,4K
114. We Bury the Dead,2024,N/A,7.4,47
115. Mr. Crocket,2024,1h 28m,5.4,4.2K
116. House of Spoils,2024,1h 41m,5.0,3.5K
117. The Dead Thing,2024,1h 34m,6.0,70
118. Swap,2024,1h 26m,3.0,286
119. Frankie Freako,2024,1h 25m,5.6,947
120. Street Trash,2024,1h 25m,4.4,584
121. Chime,2024,45m,6.4,1.9K
122. Krazy House,2024,1h 29m,4.9,1.3K
123. Desert Fiends,2024,N/A,8.3,252
124. Angels Fallen: Warriors of Peace,2024,1h 43m,5.0,5.7K
125. Mom,2024,1h 35m,5.1,72
126. Carved,2024,1h 35m,4.4,2.6K
127. Crispy,2024,1h 16m,2.8,39
128. Witch,2024,1h 47m,5.1,1.4K
129. Bystanders,2024,1h 22m,5.1,58
130. Cloud,2024,2h 3m,6.4,688
131. Life of Belle,2024,1h 13m,5.1,575
132. Devon,2024,1h 12m,2.6,260
133. Here After,2024,1h 33m,4.1,1.2K
134. Monster on a Plane,2024,1h 28m,3.4,777
135. Beezel,2024,1h 21m,4.8,1.1K
136. Spiders on a Plane,2024,1h 18m,6.2,340
137. Lizzie Lazarus,2024,1h 31m,4.4,55
138. Milk & Serial,2024,1h 2m,6.6,2.2K
139. Grave Torture,2024,1h 57m,6.2,2.6K
140. Uninvited,2024,1h 33m,7.2,64
141. Crackcoon,2024,1h 28m,3.7,359
142. The Curse of the Necklace,2024,1h 39m,4.5,847
143. The Witch: Revenge,2024,1h 40m,5.3,666
144. #MissingCouple,2024,1h 33m,5.4,350
145. Death Whisperer 2,2024,1h 50m,7.1,593
146. I Don't Understand You,2024,1h 36m,7.0,63
147. The Wailing,2024,1h 47m,6.5,348
148. Witchboard,2024,1h 55m,7.5,79
149. Its Name Was Mormo,2024,1h 33m,4.7,79
150. Rippy,2024,1h 23m,4.1,734
151. Cinderella's Revenge,2024,1h 25m,3.7,970
152. The Naughty List of Mr. Scrooge,2024,1h 30m,4.7,149
153. Hide N Seek,2024,2h 14m,9.0,2.1K
154. Hell Hole,2024,1h 32m,4.5,1.2K
155. The Monster Beneath Us,2024,1h 43m,6.3,46
156. Freelance,2024,1h 50m,N/A,N/A
157. Ick,2024,1h 27m,5.5,176
158. Cinderella's Curse,2024,1h 22m,3.3,1.2K
159. Please Don't Feed the Children,2024,1h 34m,5.8,54
160. Bloodline Killer,2024,1h 45m,3.8,4.3K
161. Bureau 749,2024,2h 3m,4.3,447
162. Latency,2024,1h 34m,4.2,1.6K
163. Operation Blood Hunt,2024,1h 33m,3.3,382
164. Queen of Bones,2024,1h 30m,7.1,55
165. Chateau,2024,1h 23m,3.9,202
166. Terminator: Skynet Rising,2024,1h 28m,6.9,247
167. Dead Talents Society,2024,1h 45m,7.5,578
168. Salsa,2024,1h 40m,6.0,148
169. Hunters on a White Field,2024,1h 40m,5.0,413
170. We Are Wolves,2024,1h 37m,3.6,238
171. Bogieville,2024,1h 48m,5.8,318
172. Model House,2024,1h 25m,4.0,1K
173. Goldilocks and the Three Bears: Death and Porridge,2024,1h 23m,2.5,1.3K
174. 1978,2024,1h 16m,5.7,112
175. Festival of the Living Dead,2024,1h 28m,4.3,589
176. The Corpse Washer,2024,1h 47m,6.2,1K
177. Hauntology,2024,1h 43m,3.7,276
178. Mononoke the Movie: The Phantom in the Rain,2024,1h 29m,6.8,945
179. Dead Mail,2024,1h 46m,6.7,266
180. 12 to Midnight,2024,1h 36m,3.6,239
181. Turno Nocturno,2024,1h 47m,5.8,216
182. Haunt Season,2024,1h 21m,4.9,686
183. Animale,2024,1h 38m,6.3,185
184. Do Not Enter,2024,1h 25m,5.3,459
185. Remnant,2024,1h 52m,2.6,295
186. Kromoleo,2024,1h 20m,4.2,154
187. Cora,2024,1h 40m,4.8,742
188. Sumala,2024,1h 53m,6.0,160
189. Staycation,2024,1h 34m,7.6,82
190. Panggonan Wingit 2: Miss K,2024,1h 43m,7.2,54
191. The Bunker,2024,1h 32m,7.2,34
192. Horny Teenagers Must Die!,2024,1h 24m,3.2,221
193. Sunrise,2024,1h 33m,3.8,929
194. Handsome Guys,2024,1h 41m,6.5,578
195. Thaghut,2024,1h 42m,6.0,196
196. Swoon,2024,1h 23m,N/A,N/A
