Title,Year,Duration,IMDb Rating,Votes
1. Nosferatu,2024,2h 12m,7.5,115K
2. Babygirl,2024,1h 54m,6.5,18K
3. Conclave,2024,2h,7.4,78K
4. Blink Twice,2024,1h 42m,6.5,78K
5. Juror #2,2024,1h 54m,7.0,74K
6. Carry-On,2024,1h 59m,6.5,144K
7. Smile 2,2024,2h 7m,6.8,85K
8. The Damned,2024,1h 29m,5.9,1.8K
9. The Sand Castle,2024,1h 38m,4.7,641
10. Paddington in Peru,2024,1h 46m,6.8,6.1K
11. Red One,2024,2h 3m,6.3,131K
12. Love Lies Bleeding,2024,1h 44m,6.6,53K
13. Trap,2024,1h 45m,5.9,122K
14. It's What's Inside,2024,1h 43m,6.6,37K
15. The Watchers,2024,1h 42m,5.7,52K
16. Caddo Lake,2024,1h 43m,6.9,37K
17. Cuckoo,2024,1h 42m,5.7,22K
18. Absolution,2024,1h 52m,5.2,6.1K
19. Sleeping Dogs,2024,1h 50m,6.2,19K
20. Boneyard,2024,1h 36m,4.1,4.4K
21. The Instigators,2024,1h 41m,6.2,35K
22. Monster Summer,2024,1h 37m,5.7,3K
23. Exhuma,2024,2h 14m,6.9,21K
24. Time Cut,2024,1h 31m,5.0,17K
25. Afraid,2024,1h 24m,5.2,12K
26. Killer Heat,2024,1h 37m,5.6,12K
27. Kishkindha Kaandam,2024,2h 13m,8.0,9.8K
28. Outbreak,2024,1h 28m,4.5,622
29. A Sacrifice,2024,1h 34m,5.1,4.7K
30. Watchmen: Chapter I,2024,1h 23m,7.0,5.7K
31. Night Swim,2024,1h 38m,4.7,26K
32. Do Patti,2024,2h 6m,6.5,68K
33. Sikandar Ka Muqaddar,2024,2h 22m,6.0,24K
34. Damaged,2024,1h 37m,4.7,6.6K
35. The Girl in the Pool,2024,1h 29m,4.3,1.2K
36. Golam,2024,2h,7.2,5.1K
37. Turtles All the Way Down,2024,1h 51m,6.6,6.5K
38. The Best Christmas Pageant Ever,2024,1h 39m,6.8,5.7K
39. Mr. K,2024,1h 34m,6.2,268
40. Pedro Páramo,2024,2h 10m,6.3,2.6K
41. The Rule of Jenny Pen,2024,1h 43m,6.7,167
42. Hidden Face,2024,1h 55m,6.2,292
43. Orion and the Dark,2024,1h 33m,6.3,16K
44. Imaginary,2024,1h 44m,4.7,16K
45. Skincare,2024,1h 36m,5.7,3.9K
46. F*** Marry Kill,2024,1h 37m,5.2,1.2K
47. Colors of Evil: Red,2024,1h 51m,6.4,8K
48. Reunion,2024,1h 30m,5.6,3.2K
49. Depravity,2024,1h 57m,4.3,757
50. Watchmen: Chapter II,2024,1h 30m,7.0,2.1K
51. #AMFAD: All My Friends Are Dead,2024,1h 31m,4.5,1.1K
52. The Soul Eater,2024,1h 48m,5.9,2.1K
53. Long Gone Heroes,2024,1h 32m,5.1,709
54. Blackwater Lane,2024,1h 48m,4.5,1.5K
55. Force of Nature: The Dry 2,2024,2h,5.9,6.1K
56. American Star,2024,1h 47m,5.5,2.3K
57. Handling the Undead,2024,1h 37m,5.4,4K
58. Bougainvillea,2024,2h 18m,6.4,2.6K
59. Badland Hunters,2024,1h 47m,5.9,12K
60. Strictly Confidential,2024,1h 34m,2.8,769
61. Crescent City,2024,1h 43m,3.9,1.2K
62. Dan Da Dan: First Encounter,2024,1h 23m,8.2,2.3K
63. Drugstore June,2024,1h 31m,5.3,1.5K
64. Killer Body Count,2024,1h 49m,4.8,588
65. The Price of Money: A Largo Winch Adventure,2024,1h 40m,5.0,833
66. Cult Killer,2024,1h 45m,4.8,2.6K
67. City Hunter,2024,1h 42m,6.3,5.3K
68. Arcadia,2024,1h 39m,6.5,203
69. Inheritance,2024,1h 34m,5.1,3.3K
70. Desert Fiends,2024,N/A,8.3,252
71. Following,2024,1h 42m,6.4,1K
72. The Tiger's Apprentice,2024,1h 24m,5.7,2K
73. Murder Mubarak,2024,2h 20m,5.8,51K
74. Uninvited,2024,1h 33m,7.2,64
75. Revolver,2024,1h 54m,5.4,748
76. Witchboard,2024,1h 55m,7.5,79
77. Its Name Was Mormo,2024,1h 33m,4.7,79
