Title,Year,Duration,IMDb Rating,Votes
1. Unstoppable,2024,1h 56m,6.8,2.4K
2. Challengers,2024,2h 11m,7.1,140K
3. You Gotta Believe,2024,1h 44m,5.6,890
4. Queen of the Ring,2024,2h 10m,8.3,114
5. Young Woman and the Sea,2024,2h 9m,7.5,16K
6. Arthur the King,2024,1h 47m,7.0,32K
7. Under Paris,2024,1h 44m,5.2,35K
8. The Fire Inside,2024,1h 49m,7.0,1.3K
9. Rez Ball,2024,1h 51m,6.3,2.2K
10. El Jockey,2024,1h 36m,6.5,1.2K
11. Sweet Dreams,2024,1h 35m,5.4,1.3K
12. The Underdoggs,2024,1h 36m,5.6,4.5K
13. The Beautiful Game,2024,2h 5m,6.3,7.8K
14. Maidaan,2024,3h 1m,7.9,22K
15. Race for Glory: Audi vs. Lancia,2024,1h 49m,5.8,4.5K
16. My Sunshine,2024,1h 40m,7.1,724
17. Chandu Champion,2024,2h 22m,7.8,33K
18. Sixty Minutes,2024,1h 28m,5.7,5K
19. Lubber Pandhu,2024,2h 26m,8.2,5.4K
20. Yolo,2024,2h 9m,6.9,3.4K
21. Minor Leaguer,2024,1h 17m,5.2,59
22. Blue Lock: Episode Nagi,2024,1h 31m,6.6,2.2K
23. Boxer,2024,2h 30m,6.4,1.2K
24. Haikyu!! The Dumpster Battle,2024,1h 25m,7.8,5.4K
25. Havnaa,2024,1h 50m,7.2,201
26. Little Wing,2024,1h 40m,6.1,898
27. Bionic,2024,1h 50m,4.3,1.7K
28. Baki Hanma VS Kengan Ashura,2024,1h 2m,5.7,1.8K
29. Balestra,2024,2h 25m,5.1,485
30. Color of Victory,2024,2h 37m,6.1,40K
31. Pay Dirt: The Story of Supercross,2024,1h 31m,N/A,N/A
32. Federer: Twelve Final Days,2024,1h 28m,7.3,3.9K
33. Crakk: Jeetega... Toh Jiyegaa,2024,2h 34m,4.7,6.4K
34. Giannis: The Marvelous Journey,2024,1h 49m,8.3,1.7K
35. Gundi: Legend of Love,2024,2h 46m,9.1,5.2K
36. Vijay 69,2024,1h 52m,6.1,1.1K
37. The Swedish Torpedo,2024,2h,6.4,118
38. Megdan: Between Water and Fire,2024,1h 46m,5.4,673
39. Untold: The Murder of Air McNair,2024,57m,5.6,1.9K
40. The Champion,2024,1h 46m,5.5,835
41. Friendly Fire,2024,1h 45m,7.6,5
42. Kulej. Dwie strony medalu,2024,2h 28m,6.5,228
43. Mr. & Mrs. Mahi,2024,2h 19m,5.9,16K
44. Concussed: The American Dream,2024,N/A,8.2,29
45. Free Falling,2024,1h 29m,5.2,272
46. Samia,2024,1h 42m,7.4,85
47. Cup,2024,2h 26m,8.4,61
48. Tracing the Divide,2024,1h 24m,9.5,52
49. Off the Line,2024,N/A,9.0,11
50. Wingless,2024,1h 50m,7.7,72
51. Gold,2024,2h 6m,7.9,59
52. Sunshine,2024,1h 32m,8.6,21
53. Diving Into the Darkness,2024,1h 36m,9.1,74
54. Lal Salaam,2024,2h 30m,4.5,1.3K
55. El Harifa 2: El Remontada,2024,2h 10m,7.2,184
56. Grace by Night,2024,N/A,6.9,19
57. The Final: Attack on Wembley,2024,1h 22m,6.3,2.4K
